,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,168,174,174,169,173
97,NUTS II,Centro,115,118,113,112,102
206,NUTS II,Área Metropolitana de Lisboa,187,191,193,186,176
226,NUTS II,Alentejo,38,42,40,33,34
290,NUTS II,Algarve,41,40,40,41,39
309,NUTS II,Região Autónoma dos Açores,9,9,9,10,9
339,NUTS II,Região Autónoma da Madeira,13,13,14,14,14
