,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,49,53,51,46,52
97,NUTS II,Centro,45,47,48,47,44
206,NUTS II,Área Metropolitana de Lisboa,32,37,37,35,33
226,NUTS II,Alentejo,27,30,29,24,25
290,NUTS II,Algarve,12,11,11,12,13
309,NUTS II,Região Autónoma dos Açores,6,6,6,7,6
339,NUTS II,Região Autónoma da Madeira,2,2,3,3,3
