,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,32958,34797,34643,33217,34879
97,NUTS II,Centro,21997,23160,23172,22846,19455
206,NUTS II,Área Metropolitana de Lisboa,33864,35125,34509,34213,32106
226,NUTS II,Alentejo,7864,8956,8685,6993,7005
290,NUTS II,Algarve,7391,6602,6602,6944,6885
309,NUTS II,Região Autónoma dos Açores,1714,1714,1714,2459,2078
339,NUTS II,Região Autónoma da Madeira,2647,2647,2831,2831,2831
