,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,192740,195239,192492,82019,103576
97,NUTS II,Centro,114880,108985,105547,43234,50495
206,NUTS II,Área Metropolitana de Lisboa,275068,263568,268662,111913,129929
226,NUTS II,Alentejo,10488,18220,18137,7958,9559
290,NUTS II,Algarve,48435,54749,53358,21758,25587
309,NUTS II,Região Autónoma dos Açores,6219,6130,6086,2417,2544
339,NUTS II,Região Autónoma da Madeira,18011,17450,17347,7683,8783
