,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,24603660,23696331,24852687,6432080,9870219
97,NUTS II,Centro,11527362,10512969,10908867,2544241,3706391
206,NUTS II,Área Metropolitana de Lisboa,37619056,35834083,38472499,9469461,13859691
226,NUTS II,Alentejo,983750,1768508,1807967,420065,673857
290,NUTS II,Algarve,4735565,4857503,5000907,1183739,1754946
309,NUTS II,Região Autónoma dos Açores,744764,649950,714406,150331,231331
339,NUTS II,Região Autónoma da Madeira,1464259,1358087,1433297,367498,525727
