,Geografico,Região,2017,2018,2019,2020,2021
2,NUTS II,Norte,4873843,4625120,4813870,1217999,1812150
97,NUTS II,Centro,2238474,2020771,2096241,489986,691238
206,NUTS II,Área Metropolitana de Lisboa,6895109,6431879,6861597,1680473,2372845
226,NUTS II,Alentejo,230662,374156,387187,88421,130458
290,NUTS II,Algarve,917111,920495,949259,223223,328159
309,NUTS II,Região Autónoma dos Açores,162455,138905,153448,32003,46306
339,NUTS II,Região Autónoma da Madeira,291980,265300,279140,70556,99252
